 Epoch: 0,batch 50, gloss: 19.63 (mse0.015, adv12.819, perc:6.792); dloss: 1.39 (r0.652, f0.741)
 Epoch: 0,batch 51, gloss: 21.02 (mse0.022, adv12.961, perc:8.037); dloss: 1.39 (r0.655, f0.733)
 Epoch: 0,batch 52, gloss: 21.36 (mse0.008, adv13.200, perc:8.156); dloss: 1.40 (r0.667, f0.731)
 Epoch: 0,batch 53, gloss: 20.92 (mse0.030, adv13.192, perc:7.694); dloss: 1.39 (r0.671, f0.720)
 Epoch: 0,batch 54, gloss: 21.05 (mse0.010, adv13.363, perc:7.675); dloss: 1.39 (r0.669, f0.720)
 Epoch: 0,batch 55, gloss: 21.43 (mse0.027, adv13.318, perc:8.090); dloss: 1.39 (r0.677, f0.718)
 Epoch: 0,batch 56, gloss: 21.23 (mse0.008, adv13.201, perc:8.020); dloss: 1.39 (r0.667, f0.724)
 Epoch: 0,batch 57, gloss: 20.39 (mse0.008, adv13.397, perc:6.985); dloss: 1.39 (r0.677, f0.715)
 Epoch: 0,batch 58, gloss: 19.75 (mse0.015, adv13.417, perc:6.318); dloss: 1.39 (r0.671, f0.716)
 Epoch: 0,batch 59, gloss: 20.30 (mse0.009, adv13.443, perc:6.846); dloss: 1.39 (r0.676, f0.715)
 Epoch: 0,batch 60, gloss: 21.38 (mse0.009, adv13.410, perc:7.960); dloss: 1.39 (r0.677, f0.714)
 Epoch: 0,batch 61, gloss: 21.17 (mse0.010, adv13.653, perc:7.503); dloss: 1.39 (r0.689, f0.703)
 Epoch: 0,batch 62, gloss: 19.97 (mse0.008, adv13.543, perc:6.423); dloss: 1.39 (r0.680, f0.707)
 Epoch: 0,batch 63, gloss: 20.16 (mse0.007, adv13.631, perc:6.526); dloss: 1.39 (r0.684, f0.704)
 Epoch: 0,batch 64, gloss: 21.49 (mse0.008, adv13.685, perc:7.792); dloss: 1.39 (r0.686, f0.701)
 Epoch: 0,batch 65, gloss: 21.09 (mse0.056, adv13.696, perc:7.337); dloss: 1.38 (r0.683, f0.693)
 Epoch: 0,batch 66, gloss: 20.60 (mse0.052, adv13.587, perc:6.964); dloss: 1.40 (r0.690, f0.705)
 Epoch: 0,batch 67, gloss: 21.46 (mse0.014, adv13.576, perc:7.874); dloss: 1.39 (r0.682, f0.703)
 Epoch: 0,batch 68, gloss: 20.40 (mse0.012, adv13.722, perc:6.664); dloss: 1.39 (r0.693, f0.700)
 Epoch: 0,batch 69, gloss: 20.41 (mse0.014, adv13.684, perc:6.708); dloss: 1.39 (r0.688, f0.700)
 Epoch: 0,batch 70, gloss: 19.95 (mse0.011, adv13.764, perc:6.179); dloss: 1.39 (r0.692, f0.697)
 Epoch: 0,batch 71, gloss: 19.77 (mse0.007, adv13.784, perc:5.982); dloss: 1.39 (r0.691, f0.697)
 Epoch: 0,batch 72, gloss: 20.67 (mse0.013, adv13.884, perc:6.770); dloss: 1.39 (r0.696, f0.693)
 Epoch: 0,batch 73, gloss: 20.39 (mse0.008, adv13.850, perc:6.536); dloss: 1.39 (r0.693, f0.693)
 Epoch: 0,batch 74, gloss: 20.02 (mse0.010, adv13.886, perc:6.120); dloss: 1.39 (r0.695, f0.692)
 Epoch: 0,batch 75, gloss: 19.78 (mse0.010, adv13.900, perc:5.872); dloss: 1.39 (r0.694, f0.692)
 Epoch: 0,batch 76, gloss: 22.05 (mse0.014, adv13.906, perc:8.128); dloss: 1.39 (r0.696, f0.690)
